0.375 19.4263 0.0483863
0.425 17.3435 0.0455341
0.475 15.6797 0.0431715
0.525 13.9812 0.0408431
0.575 12.6885 0.0388681
0.625 11.2804 0.0367348
0.675 10.2658 0.0352993
0.725 9.34426 0.0338751
0.775 8.16636 0.0319097
0.825 7.42076 0.0310333
0.875 6.64897 0.0300699
0.925 6.07088 0.0299358
0.975 5.47259 0.029564
1.025 5.0128 0.0300414
1.075 4.41045 0.0306615
1.125 4.12854 0.0317641
1.175 3.70716 0.0335679
1.225 3.30527 0.036522
1.275 2.86824 0.0403541
1.325 2.8505 0.0175732
1.375 2.61647 0.0178351
1.425 2.2778 0.0168875
1.475 2.06316 0.0160184
