0.525	4.447	0.007
0.575	3.646	0.006
0.625	3.008	0.005
0.675	2.518	0.004
0.725	2.11	0.004
0.775	1.785	0.003
0.825	1.511	0.003
0.875	1.285	0.003
0.925	1.096	0.003
0.975	0.939	0.0023
1.05	0.752	0.0014
1.15	0.5694	0.0012
1.25	0.4321	0.001
1.35	0.3318	9.0E-4
1.45	0.2558	7.0E-4
1.55	0.1999	6.0E-4
1.65	0.1559	6.0E-4
1.75	0.1238	5.0E-4
1.85	0.1001	4.0E-4
1.95	0.08017	3.7E-4
2.1	0.05892	2.2E-4
2.3	0.03897	1.7E-4
2.5	0.02611	1.3E-4
2.7	0.01782	1.1E-4
2.9	0.01222	8.0E-5
3.1	0.008773	6.5E-5
3.3	0.006241	5.2E-5
3.5	0.004506	4.3E-5
3.7	0.003283	3.5E-5
3.9	0.002439	2.9E-5
4.25	0.001487	1.4E-5
4.75	7.556E-4	9.1E-6
5.25	4.15E-4		6.4E-6
5.75	2.307E-4	4.5E-6
6.25	1.348E-4	3.3E-6
6.75	8.857E-5	2.55E-6
7.5	4.641E-5	1.24E-6
8.5	2.138E-5	7.9E-7
9.5	1.116E-5	5.4E-7
10.5	4.989E-6	3.41E-7
11.5	3.691E-6	2.8E-7
12.5	2.01E-6	1.98E-7
13.5	1.321E-6	1.55E-7
15.0	5.778E-7	6.86E-8
18.0	2.337E-7	2.81E-8
