0.525   30.9016   0.0056717
0.675   16.0355   0.003554
0.825   8.7221   0.00233513
0.975   5.02205   0.00162397
1.125   3.02099   0.00117113
1.35   1.49395   0.00052759
1.65   0.640305   0.000312571
1.95   0.296256   0.000195524
2.25   0.146704   0.000128242
3   0.0314553   2.40227e-05
4.2   0.00428112   7.65575e-06
5.4   0.000908255   3.1835e-06
6.6   0.00024567   1.49339e-06
9   3.31796e-05   2.4193e-07
12.6   3.67667e-06   6.7227e-08
18   3.5676e-07   9.8849e-09
25.2   4.28171e-08   2.29287e-09
33.6   6.87515e-09   4.7102e-10
43.2   1.16505e-09   3.52941e-11
57.6   1.6712e-10   5.4981e-12
76.8   2.65709e-11   1.81841e-12
99.3   4.5914e-12   6.0161e-13
