0.15	243.896		8.7754
0.25	154.931		5.4468
0.35	90.4774		3.3286
0.45	53.5602		1.90638
0.55	33.286		1.18014
0.65	21.2123		0.7565
0.75	14.0104		0.51442
0.85	9.56216		0.33286
0.95	6.47564		0.236028
1.1	3.87328		0.139196
1.3	2.00019		0.072624
1.5	1.13778		0.042364
1.7	0.638486	0.0248132
1.9	0.369172	0.01513
2.1	0.227253	0.0099858
2.3	0.128908	0.006052
2.5	0.0871488	0.004539
2.7	0.0541654	0.0033286
2.9	0.0329834	0.0024208
3.1	0.0233305	0.00199716
3.3	0.0184586	0.00160378
3.5	0.0129815	0.00133144
3.7	0.00838202	0.00099858
3.9	0.00950164	0.001513
