0.5    47.5311    0.00754185
0.7    20.6563    0.0040084
0.9    9.7089    0.00239174
1.1    5.0207    0.0015547
1.4    2.07635    0.00061994
1.8    0.74236    0.000327734
2.2    0.299894    0.00018909
2.8    0.091243    6.4249e-05
3.6    0.0237466    2.92539e-05
4.4    0.0075451    1.50035e-05
5.2    0.00281713    8.44185e-06
6    0.00119758    5.1112e-06
6.8    0.00056162    3.30234e-06
8.2    0.000180692    1.04178e-06
10.2    4.85159e-05    4.86209e-07
12.2    1.66874e-05    2.64911e-07
15.2    4.42654e-06    8.25265e-08
19.2    1.05203e-06    3.29191e-08
23.2    2.92792e-07    1.38072e-08
31.2    5.1062e-08    2.24097e-09
43.2    7.4311e-09    5.4547e-10
55.2    1.29907e-09    7.25745e-11
71.2    2.95156e-10    2.16386e-11
91.2    5.35685e-11    3.28435e-12
111.2    1.50071e-11    4.21222e-13
141.2    3.14329e-12    1.14642e-13
181.2    5.49995e-13    5.18095e-14
